#nii_code,mext_code,jsps_code,name_ja,name_en,name_yomi
0027301,27301,27301,長崎県立大学,University of Nagasaki,ナガサキケンリツダイガク
0023601,23601,23601,長野県看護大学,Nagano College of Nursing,ナガノケンカンゴダイガク
382935,23603,,長野県立大学,The University of Nagano,ナガノケンリツダイガク
382785,23602,,長野大学,Nagano University,ナガノダイガク
0023903,23903,23903,名古屋市立大学,Nagoya City University,ナゴヤシリツダイガク
0020104,20104,20104,名寄市立大学,Nayoro City University,ナヨロシリツダイガク
0024601,24601,24601,奈良県立医科大学,Nara Medical University,ナラケンリツイカダイガク
0024602,24602,24602,奈良県立大学,Nara Prefectual University,ナラケンリツダイガク
0023101,23101,23101,新潟県立看護大学,Niigata College of Nursing,ニイガタケンリツカンゴダイガク
0023102,23102,23102,新潟県立大学,University of Niigata Prefecture,ニイガタケンリツダイガク
0025302,25302,25302,新見公立大学,Niimi College,ニイミコウリツダイガク
0024506,24506,24506,兵庫県立大学,University of Hyogo,ヒョウゴケンリツダイガク
0025403,25403,25403,広島市立大学,Hiroshima City University,ヒロシマシリツダイガク
0023401,23401,23401,福井県立大学,Fukui Prefectural University,フクイケンリツダイガク
0027103,27103,27103,福岡女子大学,Fukuoka Women's University,フクオカジョシダイガク
0027104,27104,27104,福岡県立大学,Fukuoka Prefectural University,フクオカジョシダイガク
0021601,21601,21601,福島県立医科大学,Fukushima Medical University,フクシマケンリツイカダイガク
0024304,24304,24304,福知山公立大学,The University of Fukuchiyama,フクチヤマコウリツダイガク
0025407,25407,25407,福山市立大学,Fukuyama City University,フクヤマシリツダイガク
0022303,22303,22303,前橋工科大学,Maebashi Institute of Technology,マエバシコウカダイガク
0024102,24102,24102,三重県立看護大学,Mie Prefectural College of Nursing,ミエケンリツカンゴダイガク
0021301,21301,21301,宮城大学,Miyagi University,ミヤギダイガク
0027602,27602,27602,宮崎県立看護大学,Miyazaki Prefectual Nursing University,ミヤザキケンリツカンゴダイガク
0027601,27601,27601,宮崎公立大学,Miyazaki Municipal University,ミヤザキコウリツダイガク
0028003,28003,28003,名桜大学,Meio University,メイオウダイガク
0021501,21501,21501,山形県立保健医療大学,Yamagata Prefectural University of Health Science,ヤマガタケンリツホケンイリョウダイガク
0021502,21502,21502,山形県立米沢栄養大学,Yamagata Prefectural Yonezawa University of Nutrition Sciences,ヤマガタケンリツヨネザワエイヨウダイガク
0025502,25502,25502,山口県立大学,Yamaguchi Prefectural University,ヤマグチケンリツダイガク
0023503,23503,23503,山梨県立大学,Yamanashi Prefectural University,ヤマナシケンリツダイガク
0022701,22701,22701,横浜市立大学,Yokohama City University,ヨコハマシリツダイガク
